manager,official_site,global_total_usd,mainland_total_usd,global_evidence_count,mainland_evidence_count,error_count
东亚联丰投资管理,,0.0,0.0,0,0,1
东方汇理(香港),,0.0,0.0,0,0,1
中银保诚资管,,0.0,0.0,0,0,1
中银香港资管,,0.0,0.0,0,0,1
兴证国际资管,,0.0,0.0,0,0,1
华夏基金(香港),,0.0,0.0,0,0,1
南方东英资管,,0.0,0.0,0,0,1
博时基金(国际),,0.0,0.0,0,0,1
太平资管(香港),,0.0,0.0,0,0,1
安联环球投资(亚太),,0.0,0.0,0,0,1
富达基金(香港),,0.0,0.0,0,0,1
建银国际资管,,0.0,0.0,0,0,1
弘收资管(香港),,0.0,0.0,0,0,1
恒生投资管理,,0.0,0.0,0,0,1
惠理基金(香港),,0.0,0.0,0,0,1
摩根基金(亚洲),,0.0,0.0,0,0,1
摩根资管(亚太),,0.0,0.0,0,0,1
施罗德投资管理(香港),,0.0,0.0,0,0,1
易方达资管(香港),,0.0,0.0,0,0,1
汇丰投资基金(香港),,0.0,0.0,0,0,1
海通国际资管(香港),,0.0,0.0,0,0,1
瑞银基金(卢森堡),,0.0,0.0,0,0,1
瑞银环球资管(香港),,0.0,0.0,0,0,1
百达资产管理(香港),,0.0,0.0,0,0,1
行健资管,,0.0,0.0,0,0,1
贝莱德资管(北亚),,0.0,0.0,0,0,1
高腾国际资管,,0.0,0.0,0,0,1
