manager,official_site,global_total_usd,mainland_total_usd,global_evidence_count,mainland_evidence_count,error_count
东亚联丰投资管理,https://www.buim.com/,0,0,0,0,6
东方汇理(香港),https://www.amundi.com.hk/retail,0,0,0,0,2
中银保诚资管,https://www.boci-pru.com.hk/english/,0,0,0,0,2
中银香港资管,https://www.bochkam.com/en/,0,0,0,0,2
兴证国际资管,https://www.xyzq.com.hk/,0,0,0,0,2
华夏基金(香港),https://www.chinaamc.com.hk/,0,0,0,0,2
南方东英资管,https://www.csopasset.com/,0,0,0,0,4
博时基金(国际),https://www.bosera.com.hk/en-US/,0,0,0,0,2
太平资管(香港),https://www.tpfh.cntaiping.com/,0,0,0,0,2
安联环球投资(亚太),https://hk.allianzgi.com/en-hk/retail,0,0,0,0,2
富达基金(香港),https://www.fidelity.com.hk/,0,0,0,0,2
建银国际资管,https://www.ccbintl.com.hk/English.html,0,0,0,0,4
弘收资管(香港),https://www.incomepartners.com/,0,0,0,0,2
恒生投资管理,https://www.hangsenginvestment.com/,0,0,0,0,2
惠理基金(香港),https://www.valuepartners-group.com/en/,0,0,0,0,4
摩根基金(亚洲),https://am.jpmorgan.com/hk/en/asset-management/adv/,10424800000.0,0,6,0,1
摩根资管(亚太),https://am.jpmorgan.com/hk/en/asset-management/adv/,0,0,0,0,3
施罗德投资管理(香港),https://www.schroders.com/en-hk/hk/individual,0,0,0,0,2
易方达资管(香港),https://www.efunds.com.hk/,0,0,0,0,2
汇丰投资基金(香港),https://www.assetmanagement.hsbc.com.hk/en/,0,0,0,0,2
海通国际资管(香港),https://www.haitongetf.com.hk/asm/en-us,0,0,0,0,4
瑞银基金(卢森堡),https://www.ubs.com/hk/en/assetmanagement,0,0,0,0,4
瑞银环球资管(香港),https://www.ubs.com/hk/en/assetmanagement,0,0,0,0,4
百达资产管理(香港),https://www.am.pictet/,0,0,0,0,4
行健资管,https://www.zealasset.com/,0,0,0,0,4
贝莱德资管(北亚),https://www.blackrock.com/hk/en,0,0,0,0,2
高腾国际资管,https://www.gaotengasset.com/,0,0,0,0,2
